Time,Enable,In_L,In_R,Out_Mid,Out_Side
26,0,  1000,   500,  1000,   500
36,0,  -500,   200,  -500,   200
46,0, 32767,-32768, 32767,-32768
56,1,  2000,  1000,  1500,   500
66,1, -2000,  2000,     0, -2000
76,1,     3,     0,     1,     1
86,1,   100,   -50,    25,    75
